TOWN,X,Y
Rīga,506241.3043124933,311680.15155175515
Daugavpils,657493.2048395064,194664.8531134529
Liepāja,315792.36083934444,266100.5026262216
Alūksne,683180.4454127145,368295.05562131014
Cēsis,576847.6754819179,352948.6270608129
Dobele,455602.7112294044,275933.7112844866
Jēkabpils,615028.8131470009,262871.7509591775
Kolka,416071.94381151476,401383.47097375244
Ainaži,521318.5175597351,413592.2240979448
Stende,411253.38655511965,334269.5344687328
