ID,LKS92-E,LKS92-N
415,738534.1061000023,234865.2800999992
416,738534.1061000023,232865.2800999992
417,738534.1061000023,230865.2800999992
418,738534.1061000023,229865.2800999992
419,738534.1061000023,219865.2800999992
420,738534.1061000023,218865.2800999992
421,738534.1061000023,217865.2800999992
422,738534.1061000023,214865.2800999992
423,737534.1061000023,304865.2800999992
424,737534.1061000023,303865.2800999992
425,737534.1061000023,299865.2800999992
426,737534.1061000023,298865.2800999992
427,737534.1061000023,297865.2800999992
428,737534.1061000023,292865.2800999992
429,737534.1061000023,279865.2800999992
430,737534.1061000023,277865.2800999992
431,737534.1061000023,275865.2800999992
432,737534.1061000023,265865.2800999992
433,737534.1061000023,261865.2800999992
434,737534.1061000023,258865.2800999992
435,737534.1061000023,254865.2800999992
436,737534.1061000023,253865.2800999992
437,737534.1061000023,252865.2800999992
438,737534.1061000023,250865.2800999992
439,737534.1061000023,245865.2800999992
440,737534.1061000023,241865.2800999992
441,737534.1061000023,239865.2800999992
442,737534.1061000023,238865.2800999992
443,737534.1061000023,237865.2800999992
444,737534.1061000023,236865.2800999992
445,737534.1061000023,233865.2800999992
446,737534.1061000023,232865.2800999992
447,737534.1061000023,231865.2800999992
448,737534.1061000023,230865.2800999992
449,737534.1061000023,229865.2800999992
450,737534.1061000023,228865.2800999992
451,737534.1061000023,227865.2800999992
452,737534.1061000023,224865.2800999992
453,737534.1061000023,223865.2800999992
454,737534.1061000023,216865.2800999992
455,737534.1061000023,215865.2800999992
456,737534.1061000023,213865.2800999992
457,737534.1061000023,212865.2800999992
458,737534.1061000023,211865.2800999992
459,736534.1061000023,305865.2800999992
460,736534.1061000023,301865.2800999992
461,736534.1061000023,300865.2800999992
462,736534.1061000023,295865.2800999992
463,736534.1061000023,292865.2800999992
464,736534.1061000023,290865.2800999992
465,736534.1061000023,286865.2800999992
466,736534.1061000023,284865.2800999992
467,736534.1061000023,281865.2800999992
468,736534.1061000023,278865.2800999992
469,736534.1061000023,277865.2800999992
470,736534.1061000023,270865.2800999992
471,736534.1061000023,257865.2800999992
472,736534.1061000023,253865.2800999992
473,736534.1061000023,252865.2800999992
474,736534.1061000023,248865.2800999992
475,736534.1061000023,247865.2800999992
476,736534.1061000023,241865.2800999992
477,736534.1061000023,240865.2800999992
478,736534.1061000023,237865.2800999992
479,736534.1061000023,236865.2800999992
480,736534.1061000023,233865.2800999992
481,736534.1061000023,228865.2800999992
482,736534.1061000023,227865.2800999992
483,736534.1061000023,224865.2800999992
484,736534.1061000023,223865.2800999992
485,736534.1061000023,221865.2800999992
486,736534.1061000023,220865.2800999992
487,736534.1061000023,218865.2800999992
488,736534.1061000023,216865.2800999992
489,736534.1061000023,213865.2800999992
490,736534.1061000023,212865.2800999992
491,735534.1061000023,309865.2800999992
492,735534.1061000023,308865.2800999992
493,735534.1061000023,307865.2800999992
494,735534.1061000023,306865.2800999992
495,735534.1061000023,303865.2800999992
496,735534.1061000023,298865.2800999992
497,735534.1061000023,297865.2800999992
498,735534.1061000023,296865.2800999992
499,735534.1061000023,295865.2800999992
500,735534.1061000023,292865.2800999992
501,735534.1061000023,291865.2800999992
502,735534.1061000023,290865.2800999992
503,735534.1061000023,279865.2800999992
504,735534.1061000023,278865.2800999992
505,735534.1061000023,272865.2800999992
506,735534.1061000023,269865.2800999992
507,735534.1061000023,267865.2800999992
508,735534.1061000023,266865.2800999992
509,735534.1061000023,258865.2800999992
510,735534.1061000023,256865.2800999992
511,735534.1061000023,253865.2800999992
